num	input_sequence	fol_translation	prompt_1-translations	prompt_1-evals	prompt_2-translations	prompt_2-evals	prompt_3-translations	prompt_3-evals	prompt_3_adjustment_prompt_1-translations	prompt_3_adjustment_prompt_1-evals	prompt_3_adjustment_prompt_1_adjustment_prompt_1-translations	prompt_3_adjustment_prompt_1_adjustment_prompt_1-evals	prompt_4-translations	prompt_4-evals	prompt_4_adjustment_prompt_2-translations	prompt_4_adjustment_prompt_2-evals	prompt_5-translations	prompt_5-evals	prompt_5_adjustment_prompt_3-translations	prompt_5_adjustment_prompt_3-evals	cnf-translations	cnf-evals	horn-translations	horn-evals	prompt_6-translations	prompt_6-evals	prompt_6_adjustment_prompt_4-translations	prompt_6_adjustment_prompt_4-evals	prompt_7-translations	prompt_7-evals	prompt_7_adjustment_prompt_5-translations	prompt_7_adjustment_prompt_5-evals
0	you should expect your friends to reveal everything about themselves to you.	∀x∀y(Friends(x, y) ∧ RevealEverything(x, y) → evaluation(GOOD))	∀x(Friend(x) → RevealEverything(x))	1	∀x∀y(Friends(x, y) → ShouldExpect(x, RevealEverything(y)))	0	∀x∀y(Friends(x, y) → ShouldRevealEverything(x, y))	1	∀x∀y(Friends(x, y) → ExpectRevealEverything(y, x))	1	∀x∀y(Friends(x, y) ∧ Yourself(y) → ExpectRevealEverything(x, y))	1	∀x∀y(Friend(x, y) → ExpectRevealEverything(x, y))	1	∀x∀y(Friend(y, x) → ShouldExpect(y,RevealEverything(x)))	0	∀x∀y(Friends(x,y) ∧ ExpectsRevealEverything(x,y) → evaluation(GOOD))	1	∀x∀y(Friends(x,y) ∧ ExpectRevealEverything(x,y) → evaluation(GOOD))	1	evaluation(GOOD) | ~Friends(v0, v1) | ~ExpectRevealEverything(v0, v1)	1	evaluation(GOOD) | ~Friends(v0, v1) | ~ExpectRevealEverything(v0, v1)	1								
1	you should ask too much of your family.	∀x∀y(Family(x,y) ∧ ShouldAskTooMuch(y,x) → evaluation(GOOD))	Ask(you, tooMuch, family)	1	∀x∀y(Family(y) ∧ Has(x, y) → ShouldAskTooMuch(x))	1	∀x(Family(x) → ShouldAskTooMuch(x))	1	∀x(Family(y,x) ∧ ShouldAskTooMuch(y) → evaluation(true))	1	∀x∀y(AskTooMuch(x, y) ∧ Family(x) → evaluation(true))	1	∀x(Family(x) → ShouldAskTooMuch(x))	1	∀x∀y(Family(y) ∧ Member(x, y) → ShouldAskTooMuch(x))	1	∀x∀y(Family(x,y) ∧ AsksTooMuch(x,y) → evaluation(GOOD))	1	∀x∀y(Family(x,y) ∧ AsksTooMuch(y,x) → evaluation(GOOD))	1	evaluation(GOOD) | ~Family(v2, v3) | ~AsksTooMuch(v3, v2)	1	evaluation(GOOD) | ~Family(v2, v3) | ~AsksTooMuch(v3, v2)	1								
2	it's good to meet new people when you go shopping.	∀x∀y(Shopping(x) ∧ Meets(x,y) ∧ New(y) → evaluation(GOOD))	∀x(Good(Meet(newPeople)) → Go(x, shopping))	0	∀x∀y(Shopping(x) ∧ Meets(x,y) ∧ New(y) → evaluation(good))	1	∀x∀y(Shopping(x) ∧ MeetNewPeople(x,y) → Good(x))	1	∀x∀y(GoShopping(x) ∧ MeetNewPeople(x,y) → evaluation(good))	1	∀x∀y((GoShopping(x) ∧ MeetNewPeople(y)) → evaluation(good))	1	∀x∀y(GoShopping(x) ∧ MeetNewPeople(x, y) → evaluation(good))	1	∀x∀y∀z(People(z) ∧ GoShopping(y) ∧ MeetNew(x,z) ∧ You(x) → evaluation(good))	1	∀x∀y(GoShopping(x) ∧ MeetNewPeople(x, y) → evaluation(GOOD))	1	∀x∀y(GoShopping(x) ∧ MeetNewPeople(y) ∧ When(x,y) → evaluation(GOOD))	1	evaluation(GOOD) | ~GoShopping(v4) | ~MeetNewPeople(v5) | ~When(v4, v5)	1	evaluation(GOOD) | ~GoShopping(v4) | ~MeetNewPeople(v5) | ~When(v4, v5)	1								
3	it's good to be excited about getting your first paycheck.	∀x∀y((Paycheck(x) ∧ Gets(y,x) → ExcitedAbout(y,x)) → evaluation(GOOD))	GoodToBeExcited(getFirstPaycheck)	1	∀x(FirstPaycheck(x) ∧ ExcitedAbout(x) → evaluation(good))	1	∀x(FirstPaycheck(x) ∧ ExcitedAbout(x) → evaluation(good))	1	∀x(FirstPaycheck(x) ∧ ExcitedAboutGetting(x) → evaluation(good))	1	∀x(FirstPaycheck(y) ∧ ExcitedAboutGetting(x,y) → evaluation(good))	1	∀x(FirstPaycheck(x) ∧ Excited(x) → evaluation(good))	1	∀x(FirstPaycheck(x) ∧ ExcitedAboutGetting(x) → evaluation(good))	1	∀x(FirstPaycheck(x) ∧ Excited(x) → evaluation(GOOD))	1	∀x(Person(x) ∧ FirstPaycheck(x) ∧ Excited(x) → evaluation(GOOD))	1	evaluation(GOOD) | ~Person(v6) | ~FirstPaycheck(v6) | ~Excited(v6)	1	evaluation(GOOD) | ~Person(v6) | ~FirstPaycheck(v6) | ~Excited(v6)	1								
4	you're expected to make sure food you serve to others is safe to eat.	∀x∀y∀z(IsFood(x) ∧ Serve(y,x,z) ∧ CheckSafety(y,x) → evaluation(GOOD))	∀x(Serve(you, x) → SafeToEat(x))	1	∀x∀y(Serves(x, y) ∧ Food(y) → ExpectedToEnsure(x, Safe(y)))	0	∀x∀y(Serves(x,y) ∧ IsFood(y) → ShouldCheckSafety(x))	1	∀x∀y((ServesFood(x,y) ∧ IsFood(y)) → ExpectedToEnsureSafety(x,y))	1	∀x∀y(ServesFood(x,y) → (IsFood(y) ∧ ExpectedToEnsureSafety(x,y)))	1	∀x∀y(Serves(x,y) ∧ Food(y) → EnsuresSafeToEat(x,y))	1	∀x∀y(Serves(x,y) ∧ Food(y) → EnsuresSafeToEat(x,y))	1	∀x∀y(Serves(x, y) ∧ Food(y) → SafeToEat(y) → evaluation(EXPECTED))	1	∀x∀y∀z(People(x) ∧ Food(y) ∧ ServeToOthers(x,y,z) ∧ SafeToEat(y) → evaluation(EXPECTED))	1	evaluation(EXPECTED) | ~People(v7) | ~Food(v8) | ~ServeToOthers(v7, v8, v9) | ~SafeToEat(v8)	1	evaluation(EXPECTED) | ~People(v7) | ~Food(v8) | ~ServeToOthers(v7, v8, v9) | ~SafeToEat(v8)	1								
5	it's bad to take an advantage in life when you see it.	∀x∀y(Advantage(x) ∧ See(y,x) ∧ Take(y,x) → evaluation(BAD))	∀x (TakeAdvantage(x) → Bad(x))	1	∀x∀y(Life(x) ∧ Sees(x,y) ∧ Advantage(y) → evaluation(bad))	1	∀x∀y((Sees(x,y) ∧ AdvantageInLife(y)) → evaluation(bad))	1	∀x∀y(See(x,y) ∧ AdvantageInLife(y) ∧ Take(x,y) → evaluation(bad))	1	∀x∀y(See(x,y) ∧ AdvantageInLife(y) ∧ Take(x,y) → evaluation(bad))	1	∀x∀y(SeeAdvantage(x,y) ∧ TakeAdvantage(x,y) → ¬evaluation(good))	1	∀x∀y(SeeAdvantage(y,x) ∧ TakeAdvantage(y,x) → evaluation(bad))	1	∀x(SeesAdvantage(x) ∧ TakesAdvantage(x) → evaluation(BAD))	1	∀x(Life(x) ∧ SeesAdvantage(x) ∧ TakesAdvantage(x) → evaluation(BAD))	1	evaluation(BAD) | ~Life(v10) | ~SeesAdvantage(v10) | ~TakesAdvantage(v10)	1	evaluation(BAD) | ~Life(v10) | ~SeesAdvantage(v10) | ~TakesAdvantage(v10)	1								
6	you shouldn't try to steal your friend's significant other	∀x∀y∀z(Friend(y,x) ∧ SignificantOther(z,y) ∧ TryToSteal(x,z) → evaluation(BAD))	∀ x,y (Person(x) ∧ Person(y) ∧ Friends(x,y) → ¬Steal(x, SignificantOther(y)))	0	∀x∀y∀z(People(x) ∧ Friends(x, y) ∧ SignificantOther(y, z) → ¬ShouldSteal(x, z))	1	∀x∀y(Friend(x,y) ∧ SignificantOther(y) → ¬ShouldSteal(x,y))	1	∀x∀y∀z((Friend(x,y) ∧ SignificantOther(y,z)) → ¬TriesToSteal(x,z))	1	∀x∀y∀z((Friend(x,y) ∧ SignificantOther(y,z)) → ¬TryToSteal(x,z))	1	∀x∀y∀z(Friend(x,y) ∧ SignificantOther(y,z) → ¬Steal(x,z))	1	∀x∀y∀z(Friend(x,y) ∧ SignificantOther(y,z) → ¬ShouldTryToSteal(x,z))	1	∀x∀y∀z(Friend(x,y) ∧ SignificantOther(y,z) ∧ TriesToSteal(x,z) → ¬evaluation(GOOD))	1	∀x∀y∀z(Friends(x, y) ∧ SignificantOther(z, y) ∧ TriesToSteal(x, z) → ¬evaluation(GOOD))	1	~evaluation(GOOD) | ~Friends(v11, v12) | ~SignificantOther(v13, v12) | ~TriesToSteal(v11, v13)	1	~evaluation(GOOD) | ~Friends(v11, v12) | ~SignificantOther(v13, v12) | ~TriesToSteal(v11, v13)	1								
7	you shouldn't measure new furniture before buying.	∀x∀y(Furniture(x) ∧ ¬Bought(y,x) ∧ Measure(y,x) → evaluation(BAD))	¬MeasureBeforeBuying(newFurniture)	1	∀x(Furniture(x) ∧ New(x) → ¬ShouldMeasureBeforeBuy(x))	1	∀x(NewFurniture(x) ∧ Buying(x) → ¬ShouldMeasure(x))	1	∀x(NewFurniture(x) ∧ Buying(x) → ¬MeasureBeforeBuying(x))	1	∀x(¬(NewFurniture(x) ∧ MeasureBeforeBuying(x)) → Buying(x))	1	∀x(Furniture(x) ∧ New(x) → ¬ShouldMeasureBeforeBuying(x))	1	∀x(NewFurniture(x) → ¬ShouldMeasureBeforeBuying(x))	1	∀x∀y(NewFurniture(x) ∧ MeasureBeforeBuying(x,y) → ¬evaluation(GOOD))	1	∀x(NewFurniture(x) ∧ MeasureBeforeBuying(y,x) → evaluation(BAD))	1	evaluation(BAD) | ~NewFurniture(v14) | ~MeasureBeforeBuying(v15, v14)	1	evaluation(BAD) | ~NewFurniture(v14) | ~MeasureBeforeBuying(v15, v14)	1								
8	it's bad to get free driving lessons if you want to learn how to drive.	∀x(WantToLearnDriving(x) ∧ GetsFreeDrivingLessons(x) → evaluation(BAD))	WantToLearnDriving(person) → ¬FreeDrivingLessons(person)	1	∀x(WantsToLearnDriving(x) ∧ GetsFreeLessons(x) → evaluation(bad))	1	∀x(WantToLearnDriving(x) ∧ GetFreeDrivingLessons(x) → evaluation(bad))	1	∀x(WantToLearnDriving(x) ∧ GetFreeDrivingLessons(x) → evaluation(bad))	1	∀x(WantToLearnDriving(x) ∧ GetFreeDrivingLessons(x) → evaluation(bad))	1	∀x(WantToLearnDrive(x) ∧ GetFreeDrivingLessons(x) → ¬evaluation(good))	1	∀x(WantToLearnDrive(x) ∧ GetFreeDrivingLessons(x) → evaluation(bad))	1	∀x∀y(WantsToLearnDriving(x,y) ∧ GetsFreeDrivingLessons(x) → ¬evaluation(GOOD))	1	∀x∀y(WantsToLearnDriving(x) ∧ GetsFreeDrivingLessons(x) → evaluation(BAD))	1	evaluation(BAD) | ~WantsToLearnDriving(v16) | ~GetsFreeDrivingLessons(v16)	1	evaluation(BAD) | ~WantsToLearnDriving(v16) | ~GetsFreeDrivingLessons(v16)	1								
9	it's considered uncivilized to live in a van.	∀x(LivesInVan(x) → evaluation(UNCIVILIZED))	Uncivilized(person) ↔ LivesInVan(person)	1	∀x(LivesInVan(x) → Uncivilized(x))	1	∀x(LivesIn(x, Van) → ConsideredUncivilized(x))	1	∀x(LivesIn(x, Van) → evaluation(uncivilized))	1	∀x(LivesInVan(x) → evaluation(uncivilized))	1	∀x(LivingInVan(x) → ¬Civilized(x))	1	∀x(LivingInVan(x) → evaluation(uncivilized))	1	∀x(LivesInVan(x) → ¬evaluation(CIVILIZED))	1	∀x(LivesInVan(x) → evaluation(UNCIVILIZED))	1	evaluation(UNCIVILIZED) | ~LivesInVan(v18)	1	evaluation(UNCIVILIZED) | ~LivesInVan(v18)	1								
