	num	input_sequence	fol_translation	fol_adjustment-translation	fol_adjustment-eval	horn_translation	Analysis	comment	Symbols	Unnamed: 9	fol_translation_sentiment	fol_adjustment_sentiment
0	0	you should expect your friends to reveal everything about themselves to you.	∀x∀y∀z(Friends(x,y) ∧ ExpectToReveal(x,y,z) ∧ About(z,y) → evaluation(GOOD))	∀x∀y(Friends(x,y) ∧ ∀z(SelfRevealing(y,z) → evaluation(GOOD)))	2.0	¬Friends(x,y) ∨ ¬ExpectToRevealEverything(x,y) ∨ evaluation(GOOD)		Comment colour codes: Emma Luca 	∀∃∧→¬∨		1	1
2	2	it's good to meet new people when you go shopping.	∀x∀y(GoesShopping(x) ∧ Meets(x,y) ∧ NewPeople(y) → evaluation(GOOD))	∀x∀y∃z(GoesShopping(x) ∧ People(y) ∧ New(y) ∧ Meet(x,y) → evaluation(GOOD))	2.0	¬GoShopping(x) ∨ ¬Meets(x,y) ∨ ¬NewPeople(y) ∨ evlauation(GOOD)		Guidelines	∀∃∧→¬∨		1	1
11	100	it's good to take care and do nice things for yourself.	∀x(TakeCare(x,x) ∧ DoNiceThingsFor(x,x) → evaluation(GOOD))	∀x∀y(TakeCareOf(x, x) ∧ NiceThing(y) ∧ DoFor(x, y) → evaluation(GOOD))	2.0	¬TakeCare(x,x) ∨ ¬DoNiceThingsFor(x,x) ∨ evaluation(GOOD)			∀∃∧→¬∨		1	1
15	104	people should date others based solely on their age.	∀x∃y(People(x) ∧ People(y) ∧ DateBasedOnAge(x,y) → evaluation(GOOD))	∀x∀y∀z(People(x) ∧ People(z) ∧ AgeOf(y,z) ∧ DateBasedOn(x,z,y) → evaluation(GOOD))	2.0	¬People(x) ∨ ¬People(y) ∨ ¬DateBasedOnAge(x,y) ∨ evaluation(GOOD)			∀∃∧→¬∨		1	1
23	201	it's wrong to single someone out based on their race.	∀x∀y∀z(SingleOutBasedOn(x,z,y) ∧ Race(y)) → evaluation(BAD)	∀x∀y∃z(People(x) ∧ RaceAttribute(y,z) ∧ SinglesOutBasedOn(x,z) → evaluation(BAD))	2.0	¬SingleOutBasedOn(x,z,y) ∨ ¬Race(y) ∨ evaluation(BAD)			∀∃∧→¬∨		0	0
24	202	you shouldn't get help if your anxiety is interfering with your daily life	∀x∀y(Anxiety(x) ∧ InterfereWithDailyLife(x,y) ∧ GetHelp(y) → evaluation(BAD))	∀x∀y(AnxietyOf(x,y) ∧ InterferesWithDailyLife(y) ∧ GetsHelp(y) → evaluation(GOOD))	2.0				∀∃∧→¬∨		0	1
27	205	it's bad to show one's feelings for your partner.	∀x∀y(Partner(x,y) ∧ ShowFeelings(x,y) → evaluation(BAD))	∀x∀y(Partner(y) ∧ FeelingsFor(x,y) ∧ Show(x) → evaluation(BAD))	2.0	¬Partner(x,y) ∨ ¬ShowFeelings(x,y) ∨ evaluation(BAD)			∀∃∧→¬∨		0	0
31	209	it's bad to phrase something awkwardly.	∀x∀y(PhraseAkwardly(x,y) → evaluation(BAD))	∀x∀y(Thing(y) ∧ Phrases(x, y) ∧ Awkwardly(x, y) → evaluation(BAD))	2.0	¬PhraseAwkwardly(x,y) ∨ evaluation(BAD)			∀∃∧→¬∨		0	0
33	300	it's unreasonable to be compassionate when someone shares that they've suffered a loss in their family.	∀x∀y(SharesThatTheySufferedLossInFamily(x,y) ∧ Compassionate(y) → evaluation(BAD))	∀x∀y∀z(People(z) ∧ FamilyOf(y,z) ∧ SufferedLoss(y) ∧ Shares(z,y) ∧ Compassionate(x) → evaluation(BAD))	2.0	¬SharesThatTheySufferedLossInFamily(x,y) ∨ ¬Compassionate(y) ∨ evaluation(UNREASONABLE)			∀∃∧→¬∨		0	0
35	303	it's bad to make your life easier.	∀x∀y(Life(x) ∧ BelongsTo(x,y) ∧ MakeEasier(y,x) → evaluation(BAD))	∀x(Life(x) ∧ MakeEasier(x) → evaluation(BAD))	2.0	¬Life(x) ∨ ¬BelongsTo(x,y) ∨ ¬MakeEasier(y,x) ∨ evaluation(BAD)			∀∃∧→¬∨		0	0
37	305	you shouldn't watch tv at work.	∀x(WatchTV(x) ∧ IsAtWork(x) → evaluation(BAD))	∀x∀y(Work(x) ∧ Watch(x,TV) → evaluation(BAD))	2.0	¬WatchTV(x) ∨ ¬IsAtWork(x) ∨ evaluation(BAD)			∀∃∧→¬∨		0	0
38	306	it's wrong to let your partner know your boundaries regarding contact with exes.	∀x∀y∀z(BoundariesRegardingContactWithExes(x) ∧ Has(y,x) ∧ Partners(y,z) ∧ LetsKnowAbout(y,z,x) → evaluation(BAD))	∀x∀y∀z(PartnerOf(x,y) ∧ Exes(z,y) ∧ BoundariesRegardingContactWith(y, z) ∧ LetKnow(x,y,z) → evaluation(BAD))	2.0	¬BoundariesRegardingContactWithExes(x) ∨ ¬Has(y,x) ∨ ¬Partners(y,z) ∨ ¬LetsKnowAbout(y,z,x) ∨ evaluation(BAD)			∀∃∧→¬∨		0	0
40	308	it's expected that you stay with the person you plan on marrying.	∀x∀y(Person(x) ∧ PlanOnMarrying(y,x) ∧ StayWith(y,x) → evaluation(GOOD))	∀x∀y(PlansMarriageWith(x,y) ∧ StaysWith(x,y) → evaluation(GOOD))	2.0	¬Person(x) ∨ ¬PlanOnMarrying(y,x) ∨ ¬StayWith(y,x) ∨ evaluation(EXPECTED)			∀∃∧→¬∨		1	1
42	310	it's taboo to admit that you don't like your step child.	∀x∀y(AdmitsThatDontLike(y,x) ∧ StepChildOf(x,y) → evaluation(BAD))	∀x∀y(StepChildOf(y,x) ∧ ¬Likes(x,y) → evaluation(BAD))	2.0	INVALID HORN			∀∃∧→¬∨		0	0
46	403	it's not fair to have one pet roam the house while the others are locked up.	∃y(Pet(A) ∧ Pet(y) ∧ RoamAroundHouse(A) ∧ LockedUp(y) → evaluation(BAD))	∀x∀y∃z(Pet(x) ∧ Pet(y) ∧ RoamHouse(x) ∧ LockedUp(y) ∧ ¬Equal(x,y) → evaluation(BAD))	2.0	¬Pet(X) ∨ ¬Pet(Y) ∨ ¬RoamAroundHouse(X) ∨ ¬LockedUp(Y) ∨ evaluation(NOT_FAIR)		In cases where variable equality/inequality is relevant, use constants	∀∃∧→¬∨		0	0
49	406	it is rude to point out physical differences in people.	∀x∀y∀z(People(x) ∧ PhysicalDifference(z) ∧ Has(x,z) ∧ PointsOut(y,z) → evaluation(BAD))	∀x∀y∀z(People(x) ∧ People(y) ∧ PhysicalDifference(x,y) ∧ PointOut(z,x,y) → evaluation(BAD))	2.0	¬People(x) ∨ ¬HasPhysicalDifference(x,y) ∨ ¬PointsOut(z,y) ∨ evaluation(RUDE)			∀∃∧→¬∨		0	0
51	408	you should always support your friends at their wedding.	∀x∀y∀z(Friends(x,y) ∧ Wedding(z) ∧ Has(y,z) ∧ SupportAt(x,y,z) → evaluation(GOOD))	∀x∀y(Friends(x,y) ∧ WeddingOf(y) ∧ Supports(x,y) → evaluation(GOOD))	2.0	¬Friends(x,y) ∨ ¬Wedding(z) ∨ ¬Has(y,z) ∨ ¬IsAt(x,z) ∨ ¬Support(x,y) ∨ evaluation(GOOD)			∀∃∧→¬∨		1	1
