	num	input_sequence	fol_translation	fol_adjustment-translation	fol_adjustment-eval	horn_translation	Analysis	comment	Symbols	Unnamed: 9	fol_translation_sentiment	fol_adjustment_sentiment
17	106	you should not always get registration information when in an accident	∃y∃x∃z(Accident(x) ∧ In(y,x) ∧ RegistrationInfo(z) ∧ Get(y,z) → evaluation(BAD))	INVALID FOL: ∀x∀y(Accident(x) ∧ In(y, x) ∧ Always(Get(y, RegistrationInformation(x))) → evaluation(BAD))	0.0				∀∃∧→¬∨		0	0
60	506	telling your girlfriend that her wardrobe is attractive is hurtful.	∀x∀y∀z(GirlfriendOf(x,y) ∧ TellsThatWardrobeIsAttractive(y,x) → evaluation(BAD))	INVALID FOL: ∀x∀y(Wardrobe(y) ∧ BelongsTo(y,GIRLFRIEND) ∧ Tells(x,GIRLFRIEND, Attractive(y)) → evaluation(BAD))	0.0	¬GirlfriendOf(x,y) ∨ ¬SaysThatWardrobeIsAttractive(z) ∨ ¬Tells(y,x,z) ∨ evaluation(HURTFUL)			∀∃∧→¬∨		0	0
81	707	it's wrong to be skeptical when you think someone's lying to you.	∀x∀y(ThinkingeIsLyingTo(x,y,x) ∧ Skeptical(x) → evaluation(BAD))	INVALID FOL: ∀x∀y(Thinks(x,Lying(y,x)) ∧ Skeptical(x) → evaluation(BAD))	0.0				∀∃∧→¬∨		0	0
91	806	it's okay to want your kids to understand the importance of their family heirlooms.	∀x∀y∀z(FamilyHeirloomOf(z,x) ∧ ParentOf(x,y) ∧ WantsOtherToUnderstandImportanceOf(x,y,z) → evaluation(GOOD))	INVALID FOL: ∀x∀y∀z(Heirloom(z) ∧ BelongsTo(z,x) ∧ FamilyOf(y,x) ∧ Wants(y,UnderstandImportance(y,z)) → evaluation(GOOD))	0.0				∀∃∧→¬∨		1	1
132	1203	it is right to date your cousins childhood best friend if they are in another relationship.	∀x∀y∀z∃q(Cousin(x,y) ∧ ChildHoodBestFriend(z,y) ∧ InRelationship(z,q) ∧ Date(x,z) → evaluation(GOOD))	INVALID FOL: ∀x∀y∀z∀w((Cousin(x) ∧ ChildhoodFriend(y,x) ∧ InRelationship(w) ∧ Date(z,y) ∨ w=y) → evaluation(GOOD))	0.0				∀∃∧→¬∨		1	1
154	1404	it's good for pet owners to care about their pet's happiness.	∀x∀y(Pet(x) ∧ Owns(y,x) ∧ CaresAboutHappinessOf(y,x) → evaluation(GOOD))	INVALID FOL: ∀x∀y(PetOwner(x) ∧ Pet(y) ∧ BelongsTo(y,x) ∧ CaresAbout(x, HappinessOf(y)) → evaluation(GOOD))	0.0				∀∃∧→¬∨		1	1
165	1504	you should make an attempt to make up with people when your health is failing.	∀x∀y∀z(People(y) ∧ Health(z) ∧ BelongsTo(z,x) ∧ Failing(z) ∧ MakeAnAttemptToMakeUpWith(x,y) → evaluation(GOOD))	INVALID FOL: ∀x∀y(HealthOf(x) ∧ Failing(x) ∃z(People(z) ∧ AttemptsToMakeUpWith(y,z)) → evaluation(GOOD))	0.0				∀∃∧→¬∨		1	1
202	1808	it's encouraged to take charge of one's own nutritional needs.	∀x∀y(NutritionalNeedsOf(x,y) ∧ TakeChargeOf(y,x) → evaluation(GOOD))	INVALID FOL: ∀x(TakesChargeOf(x, NutritionalNeeds(x)) → evaluation(GOOD))	0.0				∀∃∧→¬∨		1	1
276	2507	you shouldn't be understanding when your spouse thinks you're up to something.	∀x∀y∀z(ThinkUpTo(x,y,z) ∧ Spouse(x,y) ∧ Understanding(y) → evaluation(BAD))	INVALID FOL: ∀x∀y(SpouseOf(x,y) ∧ Thinks(y,UpToSomething(x)) ∧ Understanding(x) → evaluation(BAD))	0.0				∀∃∧→¬∨		0	0
286	2606	you shouldn't tell your parents that you don't feel well when you do.	∀x∀y(FeelsWell(x) ∧ ParentOf(y,x) ∧ TellsThatTheyDontFeelWell(x,y)  → evaluation(BAD))	INVALID FOL: ∀x∀y(ParentsOf(y,x) ∧ FeelsWell(x) ∧ Tells(x,y,FeelsWell(x)) → evaluation(BAD))	0.0				∀∃∧→¬∨		0	0
330	3006	it's fine to decide you don't want to be friends with someone.	∀x∀y(DecideDontWantToBeFriendsWith(x,y) → evaluation(GOOD))	INVALID FOL: ∀x∀y(Decide(x, ¬FriendsWith(x,y)) → evaluation(GOOD))	0.0			Long predicate with negation...	∀∃∧→¬∨		1	1
340	3105	you shouldn't always check store hours before you go there in case they might be closed by the time you get there.	∃x∃y(Store(x) ∧ Has(x,HOURS) ∧ CheckBeforeGoingIn(y,HOURS,x) ∧ ClosedByTimeGetThere(x,y) → evaluation(BAD))	INVALID FOL: ∀x∀y∀z(Store(y) ∧ GoTo(x,y) ∧ MightBeClosedWhenGetThere(y,x) ∧ AlwaysChecksBeforeGoing(x, StoreHours(y)) → evaluation(BAD))	0.0				∀∃∧→¬∨		0	0
379	3502	people should not always address concern of safety to those in charge of situations.	∃x∃y∃z∃q(ConcernOfSafety(x) ∧ People(y) ∧ Situation(z) ∧ InChargeOf(q,z) ∧ AddressTo(y,x,z) → evaluation(BAD))	INVALID FOL: ∀x∀y∀z(People(x) ∧ InChargeOf(y,z) ∧ ¬AlwaysAddressConcern(x, Safety(), y) → evaluation(BAD))	0.0				∀∃∧→¬∨		0	0
419	3810	people should assume something's not a big deal without hearing it through first.	∀x∀y(People(x) ∧ AssumeNotABigDeal(x,y) ∧ ¬HearThrough(x,y) → evaluation(GOOD))	INVALID FOL: ∀x∀y∀z(People(x) ∧ Thing(y) ∧ Assumes(x,NotBigDeal(z, y)) ∧ ¬HeardThrough(x, y) → evaluation(GOOD))	0.0				∀∃∧→¬∨		1	1
425	3905	it's unreasonable to want your father to be proud.	∀x∀y(FatherOf(x,y) ∧ WantToBeProud(y,x) → evaluation(BAD))	INVALID FOL: ∀x∀y(FatherOf(y,x) ∧ Wants(x, Proud(y)) → evaluation(GOOD))	0.0				∀∃∧→¬∨		0	1
491	4505	it's good to want people to be in good health.	∀x∀y∀z(People(x) ∧ Health(y) ∧ Good(y) ∧ WantToBeIn(z,x,y) → evaluation(GOOD))	INVALID FOL: ∀x∀y(People(y) ∧ Wants(x,GoodHealthOf(y)) → evaluation(GOOD))	0.0				∀∃∧→¬∨		1	1
515	4708	it's okay to eat too much junk food and soda because it's bad for you.	∀x∀y∀z(JunkFood(x) ∧ Soda(y) ∧ EatTooMuchBecauseBadFor(z,x,z) ∧ EatTooMuchBecauseBadFor(z,y,z) → evaluation(GOOD))	INVALID FOL: ∀x∀y(JunkFood(x) ∧ Soda(y) ∧ EatsTooMuch(You,x,y) → evaluation(GOOD)) ∧ ∀x∀y(JunkFood(x) ∧ Soda(y) ∧ BadFor(You,x,y) → evaluation(GOOD))	0.0			because it's bad for you necessary to include?	∀∃∧→¬∨		1	1
524	4806	it is polite to eat people's food if you know they are hungry.	∀x∀y∀z(People(x) ∧ Food(y) ∧ BelongsTo(y,x) ∧ Hungry(x) ∧ KnowsIsHungry(z) ∧ Eat(z,y) → evaluation(GOOD))	INVALID FOL: ∀x∀y∀z(People(x) ∧ Food(y) ∧ BelongsTo(y,x) ∧ Knows(z, Hungry(x)) ∧ Eats(z, y) → evaluation(GOOD))	0.0				∀∃∧→¬∨		1	1
550	5010	you shouldn't say you're allergic to water because that's not a real allergy.	∀x∀y(Water(x) ∧ SaysAllergicTo(y,x) ∧ ¬RealAllergy(x) → evaluation(BAD))	INVALID FOL: ∀x(Says(x, AllergicTo(WATER)) → ¬RealAllergy(AllergicTo(WATER)) → evaluation(BAD))	0.0				∀∃∧→¬∨		0	0
567	5205	it's bad to consult your parent before you sell something precious and expensive.	∀x∀y∀z(ParentOf(x,y) ∧ Consult(y,x) ∧ Precious(z) ∧ Expensive(z) ∧ WillSell(y,z)  → evaluation(BAD))	INVALID FOL: ∀x∀y∀z∀w(ParentOf(y,x) ∧ Precious(z) ∧ Expensive(z) ∧ ConsultsBefore(x,y,Sells(x,z)) → evaluation(BAD))	0.0				∀∃∧→¬∨		0	0
594	5500	people shouldn't skirt their duties in the hopes that someone else will pick up the slack.	∀x∀y∃z(People(x) ∧ Duty(y) ∧ BelongsTo(y,x) ∧ HopesWillPickUp(x,z,y) ∧ Skirt(x,y) → evaluation(BAD))	INVALID FOL: ∀x∀y∃z(People(x) ∧ Duty(y) ∧ HasDuty(x,y) ∧ Skirts(x,y) ∧ People(z) ∧ HopesThat(x, PickUp(z,y)) → evaluation(BAD))	0.0				∀∃∧→¬∨		0	0
599	5506	you should put your car windows up if it's raining.	∀x∀y∀x(Window(x) ∧ Car(y) ∧ In(x,y) ∧ PutUpIf(z,x) ∧ Weather(RAIN) → evaluation(GOOD))	INVALID FOL: ∀x∀y(Car(x) ∧ BelongsTo(x,y) ∧ Raining() → WindowsUp(y,x)) → evaluation(GOOD)	0.0			rain as constant? Weather predicate necessary and right?	∀∃∧→¬∨		1	1
679	6300	you should expect your friends to always listen to your problems.	∀x∀y∀z(FriendOf(x,y) ∧ Problem(z) ∧ BelongsTo(z,y) ∧ ExpectToListenTo(y,x,z) → evaluation(GOOD))	INVALID FOL: ∀x∀y(Friends(x,y) ∧ Always(Listens(y,x,Problems)) → evaluation(GOOD))	0.0				∀∃∧→¬∨		1	1
712	6600	you should not expect children to cry a lot since kids cry.	∀x∀y(Child(x) ∧ ExpectToCryALot(y,x) ∧ CryAlot(x) → evaluation(BAD))	INVALID FOL: ∀x∀y(Child(x) ∧ Kid(y) ∧ Cries(y) ∧ Expects(x, CriesALot(y)) → evaluation(BAD))	0.0			Include 'because of' with regular conjunction of predicate	∀∃∧→¬∨		0	0
725	6702	you should do what you can to prevent the mistreatment of animals.	∀x∀y∀z∀q(CanDo(x,y) ∧ Animal(z) ∧ MistreatmentOf(q,z) ∧ DoToPrevent(x,q) → evaluation(GOOD))	INVALID FOL: ∀x∀y(Animal(y) ∧ CanDo(x, Prevent(y, MISTREATMENT)) → evaluation(GOOD))	0.0				∀∃∧→¬∨		1	1
747	6902	it is polite to tell friends they cannot come in your home.	∀x∀y(FriendOf(x,y) ∧ TellCannotComeIn(y,x,z) ∧ Home(z) ∧ BelongsTo(z,y) → evaluation(GOOD))	INVALID FOL: ∀x∀y∀z(Friends(x,y) ∧ Home(z,y) ∧ Tells(y,x,¬CanComeIn(x,z)) → evaluation(GOOD))	0.0				∀∃∧→¬∨		1	1
760	7004	it's bad to picture certain words if you have trouble remembering them.	∀x∃y(Word(y) ∧ Picture(x,y) ∧ HaveTroubleRemember(x,y) → evaluation(BAD))	INVALID FOL: ∀x∀y∀z(HasTrouble(x, Remembering(y)) ∧ Words(z) ∧ Certain(z) ∧ Picture(x, z) → evaluation(BAD))	0.0				∀∃∧→¬∨		0	0
766	7010	it's depraved to enjoy breaking people's hearts.	∀x∀y∀z(People(x) ∧ Heart(y) ∧ BelongsTo(y,z) ∧ EnjoyBreaking(z,y) → evaluation(BAD))	INVALID FOL: ∀x∀y∀z(Person(y) ∧ HeartOf(y,z) ∧ Breaks(x,z) ∧ Enjoys(x,Breaks(x,z)) → evaluation(BAD))	0.0				∀∃∧→¬∨		0	0
768	7101	it's not is acceptable to not visit church on sunday.	∀x∀y(Church(x)  ¬VisitOn(y,x,SUNDAY) → evaluation(BAD))	INVALID FOL: ∀x(SundayToday() ∧ ¬Visit(x, CHURCH) → evaluation(BAD))	0.0				∀∃∧→¬∨		0	0
774	7107	it's expected to enjoy giving inmates cavity searches.	∀x∀y∀z(CavitySearch(x) ∧ Inmate(y) ∧ EnjoyGiving(z,y,x) → evaluation(GOOD))	INVALID FOL: ∀x∀y∀z(Inmate(y) ∧ CavitySearch(z,y) ∧ Give(x,z) ∧ Enjoy(x,Giving(z)) → evaluation(GOOD))	0.0				∀∃∧→¬∨		1	1
806	7407	you don't have to be aware of how things that don't seem like a big deal to you may be hurtful to others.	∀x∀y∃z(¬HaveToBeAwareOfHowMayBeHurfulTo(x,y,z) ∧ ¬SeemLikeBigDealTo(y,x) → evaluation(GOOD))	INVALID FOL: ∀x∀y∀z(Thing(z) ∧ NotBigDealTo(x,z) ∧ MayBeHurtfulTo(y,z) ∧ ¬AwareOf(x,y z) → evaluation(GOOD))	0.0				∀∃∧→¬∨		1	1
818	7509	it is ok to think someone is hot.	∀x∀y(ThinkIsHot(x,y) → evaluation(GOOD))	INVALID FOL: ∀x∀y(People(x) ∧ People(y) ∧ Thinks(x, Hot(y)) → evaluation(GOOD))	0.0				∀∃∧→¬∨		1	1
842	7801	people should skirt their duties in the hopes that someone else will pick up the slack.	∀x∀y∃z(People(x) ∧ Duty(y) ∧ BelongsTo(y,x) ∧ HopesWillPickUp(x,z,y) ∧ Skirt(x,y) → evaluation(GOOD))	INVALID FOL: ∀x∃y∃z(People(x) ∧ Duties(z) ∧ BelongsTo(z, x) ∧ Skirt(x, z) ∧ Hope(x,WillPickUpSlack(y, z)) → evaluation(BAD))	0.0			Contradiction in 5500: people shouldn't skirt their duties in the hopes that someone else will pick up the slack.	∀∃∧→¬∨		1	0
849	7808	it's good to want to be able to express yourself.	∀x(WantToBeAbleToExpress(x,x) → evaluation(GOOD))	INVALID FOL: ∀x(Wants(x, AbilityToExpressOneself(x)) → evaluation(GOOD))	0.0				∀∃∧→¬∨		1	1
859	7907	it's bad to want people to be in good health.	∀x∀y∀z(People(x) ∧ Health(y) ∧ Good(y) ∧ WantToBeIn(z,x,y) → evaluation(BAD))	INVALID FOL: ∀x∀y(People(y) ∧ Wants(x,InGoodHealth(y)) → evaluation(GOOD))	0.0			CONTRADICTION IN 4505: it's good to want people to be in good health.	∀∃∧→¬∨		0	1
898	8303	it's fine to not feel guilty about breaking up with someone.	∀x∀y(¬FeelGuiltyAboutBreakingUpWith(x,y) → evaluation(GOOD))	INVALID FOL: ∀x∀y(BreaksUpWith(x,y) ∧ ¬FeelsGuiltyAbout(x, BreakingUpWith(x,y)) → evaluation(GOOD))	0.0				∀∃∧→¬∨		1	1
904	8309	it's unreasonable to get into a relationship with someone you cheated with.	∀x∀y(CheatedWith(x,y) ∧ GetIntoARelationshipWith(x,y) → evaluation(BAD))	INVALID FOL: ∀x∀y∀z(CheatedWith(x,y) ∧ RelationshipWith(x,z) ∧ z=y → evaluation(BAD))	0.0				∀∃∧→¬∨		0	0
918	8501	it's fine if you don't want people to know you won big at the casino.	∀x∀y∀z(Casino(x) ∧ Big(z) ∧ ¬WantToKnowThatWonAt(y,q,y,z,x) ∧ People(q) → evaluation(GOOD))	INVALID FOL: ∀x∀y(People(y) ∧ WonBigAt(x, CASINO) ∧ ¬Wants(y,Know(x)) → evaluation(GOOD))	0.0				∀∃∧→¬∨		1	1
935	8608	it's not ok to want someone to leave you alone.	∀x∀y(WantToLeaveAlone(x,y,x) → evaluation(BAD))	INVALID FOL: ∀x∃y(Wants(x, LeaveAlone(y)) → evaluation(BAD))	0.0				∀∃∧→¬∨		0	0
973	9003	it's understandable to want someone to stick up for themselves.	∀x∀y(WantToStickUpFor(x,y,y) → evaluation(GOOD))	INVALID FOL: ∀x∃y(People(x) ∧ People(y) ∧ Wants(x, StickUpFor(y)) →  evaluation(GOOD))	0.0				∀∃∧→¬∨		1	1
997	9206	it's uncommon to think you're smarter than everyone on the internet.	∀x∀y(OnInternet(x) ∧ ThinkIsSmarterThan(y,y,x) → evaluation(BAD))	INVALID FOL ADJUSTMENT: ∀x(Thinks(x, SmarterThan(x, EveryoneOnInternet())) → evaluation(BAD))	0.0						0	0
