	num	input_sequence	fol-translation	fol-eval	fol_adjustment-translation	fol_adjustment-eval	cnf	cnf-eval	horn	horn-eval
7	7	you shouldn't measure new furniture before buying.	∀x∀y(Furniture(x) ∧ New(x) ∧ Buys(y,x) ∧ ¬MeasuresBefore(y,x) → evaluation(GOOD))	1	∀x∀y(Furniture(x) ∧ New(x) ∧ Buys(y,x) ∧ ¬MeasuresBefore(y,x) → evaluation(BAD))	1	evaluation(BAD) | ~Furniture(v17) | ~New(v17) | ~Buys(v18, v17) | MeasuresBefore(v18, v17)	1	INVALID HORN	0
16	105	you should sleep around if you don't want an std.	∀x(SleepsAround(x) ∧ ¬Wants(x, STD) → evaluation(GOOD))	1	∀x(SleepsAround(x) ∧ ¬Wants(x, STD) → evaluation(BAD))	1	evaluation(BAD) | ~SleepsAround(v37) | Wants(v37, STD)	1	INVALID HORN	0
19	108	getting circumcised isn't normal.	∀x(Circumcised(x) → ¬Normal(x) → evaluation(BAD))	1	∀x(Circumcised(x) ∧ ¬Normal(x) → evaluation(BAD))	1	evaluation(BAD) | ~Circumcised(v41) | Normal(v41)	1	INVALID HORN	0
26	204	it's expected that you won't cut off family members.	∀x∀y(FamilyOf(y,x) ∧ ¬CutsOff(x,y) → evaluation(GOOD))	1	∀x∀y(FamilyOf(x,y) ∧ ¬CutsOff(x,y) → evaluation(GOOD))	1	evaluation(GOOD) | ~FamilyOf(v53, v54) | CutsOff(v53, v54)	1	INVALID HORN	0
28	206	it is good to be the bigger person and not hold a grudge.	∀x(BiggerPerson(x) ∧ ¬HoldGrudge(x) → evaluation(GOOD))	1	∀x(BiggerPerson(x) ∧ ¬HoldGrudge(x) → evaluation(GOOD))	1	evaluation(GOOD) | ~BiggerPerson(v57) | HoldGrudge(v57)	1	INVALID HORN	0
34	302	it is good not to spend money you do not have.	∀x∀y(Money(y) ∧ ¬Has(x,y) ∧ ¬Spend(x,y) → evaluation(GOOD))	1	∀x∀y(Money(y) ∧ ¬Has(x,y) ∧ Spend(x,y) → evaluation(BAD))	1	evaluation(BAD) | ~Money(v69) | Has(v68, v69) | ~Spend(v68, v69)	1	INVALID HORN	0
41	309	it is polite to not listen to people's feelings.	∀x∀y(People(y) ∧ FeelingOf(x,y) ∧ ¬ListensTo(y,x) → evaluation(GOOD))	1	∀x∀y(People(y) ∧ FeelingOf(x,y) ∧ ¬ListensTo(y,x) → evaluation(BAD))	1	evaluation(BAD) | ~People(v83) | ~FeelingOf(v82, v83) | ListensTo(v83, v82)	1	INVALID HORN	0
42	310	it's taboo to admit that you don't like your step child.	∀x∀y(StepChildOf(y,x) ∧ ¬Likes(x,y) → evaluation(BAD))	1	∀x∀y(StepChildOf(y,x) ∧ ¬Likes(x,y) → evaluation(BAD))	1	evaluation(BAD) | ~StepChildOf(v85, v84) | Likes(v84, v85)	1	INVALID HORN	0
46	403	it's not fair to have one pet roam the house while the others are locked up.	∀x∀y∃z(Pet(x) ∧ Pet(y) ∧ RoamHouse(x) ∧ LockedUp(y) ∧ NotEqual(x,y) → evaluation(BAD))	1	∀x∀y∃z(Pet(x) ∧ Pet(y) ∧ RoamHouse(x) ∧ LockedUp(y) ∧ ¬Equal(x,y) → evaluation(BAD))	1	evaluation(BAD) | ~Pet(v91) | ~Pet(v92) | ~RoamHouse(v91) | ~LockedUp(v92) | Equal(v91, v92)	1	INVALID HORN	0
47	404	it's not your right to complain about a teacher who is not performing up to standard.	∀x∀y∀z(Teacher(y) ∧ NotPerformingUpToStandard(y) ∧ ComplainsAbout(z, y) ∧ NotRightOf(z,x) → evaluation(BAD))	1	∀x∀y(Teacher(y) ∧ ¬PerformingUpToStandard(y) ∧ ComplainsAbout(x, y) → evaluation(BAD))	1	evaluation(BAD) | ~Teacher(v94) | PerformingUpToStandard(v94) | ~ComplainsAbout(v93, v94)	1	INVALID HORN	0
56	502	it's not okay to leave a relationship that doesn't work for you.	∀x∀y∀z(Relationship(z) ∧ Involves(x,z) ∧ ¬WorksFor(z,y) → evaluation(BAD))	1	∀x∀y∀z(Relationship(z) ∧ Involves(x,z) ∧ ¬WorksFor(z,y) ∧ Leave(x,z) → evaluation(BAD))	1	evaluation(BAD) | ~Relationship(v112) | ~Involves(v110, v112) | WorksFor(v112, v111) | ~Leave(v110, v112)	1	INVALID HORN	0
