num	text	labels
50	it's not understandable to be uncomfortable if someone reveals very personal information to you about themselves.	0
51	it is nice to play with family.	1
52	you should multi-task if you're prone to losing track of your belongings.	1
53	you shouldn't do acid with your friends.	0
54	it's not important where you meet your partner.	0
55	it's okay to have dark fantasies sometimes.	1
56	you should listen to your family members when they tell you to do something.	1
57	you should not buy a car with cash instead of credit	0
58	you should not only give a pet to your kids if they agree to take care of it.	0
59	you shouldn't molest your grandchildren.	0
150	it's good to have a romantic relationship with your boss.	1
151	it is bad to play games with other people.	0
152	you do not have to care for someone who has abandoned you.	0
153	it's nice to care about your local wildlife.	1
154	it's not hurtful to hate relationships you're already in.	1
155	it's good to foster your children's interests	1
156	it is unreasonable that people are on friendly terms with family.	0
157	it is good to invite friends and family to your wedding.	1
158	it's good to take medicine.	1
159	you can't expect everyone to like your food or drinks.	0
250	it's understandable if you don't have a good review for your friend's book.	1
251	it's okay not to have respect for yourself.	1
252	people are expected to bathe on a regular basis.	1
253	you shouldn't molest your cousins.	0
254	he shouldn't be able to relax whenever you want to	0
255	if you can't afford healthcare, you should get some government assistance.	1
256	it's rude to assume something about someone just because they are a doctor	0
257	it's abnormal to need to use a public restroom.	0
258	man or woman, it is dangerous to help people you do not know.	0
259	it's bad to want to see when driving at night.	0
350	it's good to keep a jovial attitude during mundane events.	1
351	it's okay to not want people to shorten your name.	1
352	you should explain to someone how they hurt you if they want back in your life.	1
353	you should reimburse your friends.	1
354	it's bad to love fictional characters as long as you realize they will never love you back.	0
355	it's wrong to snoop thru someone else's phone.	0
356	it's improper to prepare before going someplace.	0
357	it's bad to experiment during sex.	0
358	you should expect your sisters boyfriend to be upset if you leave their group.	1
359	horns shouldn't be used for their purpose, which is to get the attention of someone.	0
450	it's ok to get pleasure from others pain.	1
451	you shouldn't have a relationship with someone who is married.	0
452	it's not demoralizing to feel afraid of your spouse.	1
453	it's not ok to need improvement at something.	0
454	it's bad to hold your anger in for two months.	0
455	you should kiss your friend's significant other.	1
456	it's gross to eat paint.	0
457	you should expect your partner to stay with you if you gossip about them.	1
458	it's rude to throw sand at people.	0
459	it is unpleasant to have to listen to crude remarks.	0
550	it's bad for parents to stick to their punishments and not give in.	0
551	after a breakup you are expected to spend some time wishing you could go back in time.	1
552	it's wrong to wish that someone would disappear.	0
553	it's good to teach your kids a second language if you know it.	1
554	it's unacceptable to treat others how they treat you.	0
555	it is not hurtful to reject a proposal.	1
556	you should expect family members to come to your aid if you hav an addiction.	1
557	you should always try to support your children.	1
558	you should not get help if you're a dispatcher and you need help clearing emergency lines.	0
559	you should pick the things up that you drop.	1
650	it is normal for parents to want their children to get a job.	1
651	people should not strive to contribute positive energy to the people in their lives.	0
652	it's okay to sacrifice your love life for your career.	1
653	you should be supportive when your dad comes out as bisexual.	1
654	at times, silence is appreciated by those around you.	1
655	it's ok to keep your phone inside your bra.	1
656	it's bad to buy a new pet.	0
657	it is not handy to reuse effective memes.	0
658	you're allowed to pine for an ex-partner you miss.	1
659	it's bad to ask your friends things if you're unsure.	0
750	it's wrong to lie to strangers you aren't interested in talking to.	0
